OBJECTID,name,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE,tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_luas_wilayah_(km2),jumlah_kepadatan_(jiwa/km2),jumlah_populasi_(jiwa/km2)
1144,"SD Negeri Tegal Alur 09 Pagi, 16 Petang",13,3268.081747,106.7191973,-6.153058684,172.0150709,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,4.97,21347.72192,106098
1145,SMK Negeri 37 Jakarta,75,1809.993694,106.8297446,-6.278406709,-51.86510613,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,2.79,10904.88155,30425
1146,"SD Negeri Tegal Alur 15 Pagi, 20 Petang",14,3619.688449,106.7261892,-6.15391941,-174.2187861,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,4.97,21347.72192,106098
1147,SD Bina Putra,13,3128.664136,106.7191973,-6.153058684,174.8155008,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,4.97,21347.72192,106098
1148,"Yasporbi - SD III, SMP II",74,1376.646644,106.826216,-6.285573218,-62.42849507,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,2.79,10904.88155,30425
1149,SD - SMP - SMK Cahaya Prima,13,3175.428004,106.7191973,-6.153058684,174.8136579,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,4.97,21347.72192,106098
1150,SD Negeri Manggarai Selatan 1 Pagi,47,1024.203624,106.8474699,-6.208848412,7.364239802,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,0.51,55327.75725,28217
1151,SD Negeri Manggarai Selatan 03 Pagi,41,1519.835236,106.8611624,-6.212874337,42.0721235,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,1.07,39465.47052,42228
1152,"SD Negeri Tegal Alur 02, 04, 05 Pagi",13,3909.716776,106.7191973,-6.153058684,170.578817,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,4.97,21347.72192,106098
1153,SD-SMP-SMA As Syafi'iyah 01,47,1351.433009,106.8474699,-6.208848412,-16.8257359,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,0.51,55327.75725,28217
