"nama_kelurahan","total_pop","prod_age_perc","age_under20","age_productive","age_above60"
"KALI ANYAR",29622,0.60694753899129,9375,17979,2268
"DURI UTARA",24105,0.597220493673512,7241,14396,2468
"TANAH SEREAL",32106,0.591104466454868,9289,18978,3839
"KERENDANG",24819,0.601595551794996,7669,14931,2219
"JEMBATAN BESI",36506,0.615707007067331,11391,22477,2638
"ANGKE",35497,0.602755162408091,10501,21396,3600
"JEMBATAN LIMA",25719,0.599440102647848,7680,15417,2622
"PEKOJAN",28203,0.59213558841258,7846,16700,3657
"ROA MALAKA",3895,0.571245186136072,840,2225,830
"DURI SELATAN",17216,0.597177044609665,4961,10281,1974
"KEBON JERUK",68210,0.595440551238821,22186,40615,5409
"SUKABUMI UTARA",48995,0.586835391366466,16315,28752,3928
"SUKABUMI SELATAN",47656,0.595664764143025,16180,28387,3089
"KELAPA DUA",29564,0.598565823298606,9362,17696,2506
"DURI KEPA",74168,0.59078039046489,21965,43817,8386
"KEDOYA UTARA",56695,0.592045153893641,17144,33566,5985
"KEDOYA SELATAN",40153,0.590815132119642,12443,23723,3987
"KALIDERES",91804,0.603829898479369,30072,55434,6298
"SEMANAN",91934,0.598973176409163,32101,55066,4767
"TEGAL ALUR",107329,0.599511781531552,36518,64345,6466
"KAMAL",70417,0.593904880923641,25042,41821,3554
"PEGADUNGAN",95792,0.604319776181727,31296,57889,6607
"PALMERAH",78566,0.597357635618461,24962,46932,6672
"SLIPI",20534,0.593746956267654,6395,12192,1947
"KOTA BAMBU UTARA",31881,0.582792258712086,10712,18580,2589
"JATI PULO",35872,0.58510816235504,11568,20989,3315
"KEMANGGISAN",39401,0.596482322783686,12008,23502,3891
"KOTA BAMBU SELATAN",27781,0.591123429682157,9303,16422,2056
"KEMBANGAN UTARA",69089,0.59682438593698,22925,41234,4930
"MERUYA UTARA",55308,0.591343024517249,17315,32706,5287
"MERUYA SELATAN",41279,0.588604375105986,13740,24297,3242
"SRENGSENG",57730,0.58997055257232,18980,34059,4691
"JOGLO",51842,0.58201844064658,17130,30173,4539
"KEMBANGAN SELATAN",33727,0.592581611172058,10109,19986,3632
"TEBET TIMUR",21569,0.595345171310677,5942,12841,2786
"TEBET BARAT",25489,0.596492604652988,7123,15204,3162
"MENTENG DALAM",44554,0.599856354087175,13837,26726,3991
"KEBON BARU",43564,0.587136167477734,13825,25578,4161
"BUKIT DURI",41975,0.59304347826087,12855,24893,4227
"MANGGARAI SELATAN",28452,0.595986222409672,8748,16957,2747
"MANGGARAI",35411,0.586258507243512,11283,20760,3368
"SETIA BUDI",3548,0.61978579481398,928,2199,421
"KARET SEMANGGI",3317,0.6153150437142,889,2041,387
"KARET KUNINGAN",19537,0.610636228694272,5776,11930,1831
"KARET",11504,0.618393602225313,3209,7114,1181
"MENTENG ATAS",33985,0.599735177284096,10446,20382,3157
"PASAR MANGGIS",33342,0.594745366204787,10506,19830,3006
"GUNTUR",4638,0.592712376024148,1129,2749,760
"KUNINGAN TIMUR",7188,0.615331107401224,2072,4423,693
"MAMPANG PRAPATAN",22671,0.606325261347095,7180,13746,1745
"BANGKA",26513,0.61098329121563,8055,16199,2259
"PELA MAMPANG",53490,0.606561974200785,16241,32445,4804
"TEGAL PARANG",40196,0.606727037516171,12851,24388,2957
"KUNINGAN BARAT",15942,0.609396562539205,4952,9715,1275
"PASAR MINGGU",30635,0.593471519503835,9393,18181,3061
"JATI PADANG",46881,0.595678419828929,14785,27926,4170
"CILANDAK TIMUR",31489,0.609355648004065,10118,19188,2183
"RAGUNAN",49072,0.601340886860124,15280,29509,4283
"PEJATEN TIMUR",72663,0.596837455100945,23733,43368,5562
"PEJATEN BARAT",46421,0.59666961073652,14627,27698,4096
"KEBAGUSAN",56843,0.592632338194677,19108,33687,4048
"KEBAYORAN LAMA UTARA",52926,0.594112534482107,17059,31444,4423
"PONDOK PINANG",69735,0.586850218685022,21572,40924,7239
"CIPULIR",50008,0.597324428091505,16158,29871,3979
"GROGOL UTARA",52369,0.59913307491073,16414,31376,4579
"GROGOL SELATAN",54963,0.60014919127413,17169,32986,4808
"KEBAYORAN LAMA SELATAN",50914,0.597870919589897,15813,30440,4661
"CILANDAK BARAT",63214,0.601812889549783,18844,38043,6327
"LEBAK BULUS",46550,0.592137486573577,14334,27564,4652
"PONDOK LABU",57763,0.589771999376764,18665,34067,5031
"GANDARIA SELATAN",27265,0.59585549238951,8381,16246,2638
"CIPETE SELATAN",32764,0.606153094860212,9878,19860,3026
"MELAWAI",2982,0.586183769282361,715,1748,519
"GUNUNG",11268,0.593095491657792,3136,6683,1449
"KRAMAT PELA",17443,0.606260390987789,5021,10575,1847
"SELONG",3223,0.58423828730996,759,1883,581
"RAWA BARAT",6674,0.590500449505544,1721,3941,1012
"SENAYAN",3028,0.605680317040951,797,1834,397
"PULO",6767,0.589478350820157,1724,3989,1054
