OID_,kelurahan,area,kecamatan,kota,provinsi,total_pop,prod_age_perc,age_under20,age_productive,age_above60
224,KEBON KOSONG,87.505938552335223,Kemayoran,Jakarta Pusat,DKI Jakarta,38235,0.592519942000000,12298,22655,3282
225,PASAR MANGGIS,76.437495475649598,Setiabudi,Jakarta Selatan,DKI Jakarta,33342,0.594745366000000,10506,19830,3006
226,KEMAYORAN,66.706044320339075,Kemayoran,Jakarta Pusat,DKI Jakarta,26186,0.589398915000000,7852,15434,2900
227,KLENDER,296.831670944478901,Duren Sawit,Jakarta Timur,DKI Jakarta,88955,0.584272947000000,29781,51974,7200
228,CIPINANG MELAYU,262.203147153913335,Makasar,Jakarta Timur,DKI Jakarta,53140,0.587410613000000,16861,31215,5064
229,KARET KUNINGAN,168.267132426087301,Setiabudi,Jakarta Selatan,DKI Jakarta,19537,0.610636229000000,5776,11930,1831
230,TUGU UTARA,233.899164436963446,Koja,Jakarta Utara,DKI Jakarta,88446,0.573344187000000,31312,50710,6424
231,CIRACAS,391.071660872200653,Ciracas,Jakarta Timur,DKI Jakarta,82918,0.595250730000000,27445,49357,6116
232,ROA MALAKA,52.812116796337534,Tambora,Jakarta Barat,DKI Jakarta,3895,0.571245186000000,840,2225,830
233,RAMBUTAN,229.279219864946327,Ciracas,Jakarta Timur,DKI Jakarta,47064,0.588390277000000,15886,27692,3486
234,KEMBANGAN SELATAN,443.227070119432710,Kembangan,Jakarta Barat,DKI Jakarta,33727,0.592581611000000,10109,19986,3632
235,KALISARI,258.068126619603220,Pasar Rebo,Jakarta Timur,DKI Jakarta,54833,0.592234603000000,18036,32474,4323
236,BIDARA CINA,125.180125805692654,Jatinegara,Jakarta Timur,DKI Jakarta,45188,0.598167655000000,13653,27030,4505
237,CIPETE SELATAN,239.284595977271437,Cilandak,Jakarta Selatan,DKI Jakarta,32764,0.606153095000000,9878,19860,3026
238,LUBANG BUAYA,369.464409079991015,Cipayung,Jakarta Timur,DKI Jakarta,81289,0.590559608000000,27189,48006,6094
239,KRAMAT PELA,127.780331182874093,Kebayoran Baru,Jakarta Selatan,DKI Jakarta,17443,0.606260391000000,5021,10575,1847
240,JOHAR BARU,118.617973482866475,Johar Baru,Jakarta Pusat,DKI Jakarta,46387,0.590941428000000,14324,27412,4651
241,PULAU TIDUNG,122.562858165886794,Kepulauan Seribu Selatan,Kepulauan Seribu,DKI Jakarta,6093,0.566551781000000,2271,3452,370
242,RAGUNAN,475.321454295663557,Pasar Minggu,Jakarta Selatan,DKI Jakarta,49072,0.601340887000000,15280,29509,4283
243,ANGKE,79.780029928317731,Tambora,Jakarta Barat,DKI Jakarta,35497,0.602755162000000,10501,21396,3600
244,SRENGSENG SAWAH,560.387717202526346,Jagakarsa,Jakarta Selatan,DKI Jakarta,73617,0.594849016000000,24142,43791,5684
245,PONDOK RANGGON,521.250654191364788,Cipayung,Jakarta Timur,DKI Jakarta,32925,0.593378891000000,11241,19537,2147
246,CEMPAKA BARU,94.320492729097737,Kemayoran,Jakarta Pusat,DKI Jakarta,41466,0.593546520000000,13205,24612,3649
247,PADEMANGAN BARAT,148.012128148644678,Pademangan,Jakarta Utara,DKI Jakarta,93804,0.591147499000000,30726,55452,7626
248,PULAU UNTUNG JAWA,128.599879990223684,Kepulauan Seribu Selatan,Kepulauan Seribu,DKI Jakarta,2608,0.566334356000000,971,1477,160
249,SETU,281.666946461932014,Cipayung,Jakarta Timur,DKI Jakarta,26539,0.587475037000000,9102,15591,1846
250,MENTENG ATAS,104.156823576043394,Setiabudi,Jakarta Selatan,DKI Jakarta,33985,0.599735177000000,10446,20382,3157
251,KELAPA DUA,140.470291313285117,Kebon Jeruk,Jakarta Barat,DKI Jakarta,29564,0.598565823000000,9362,17696,2506
252,MAPHAR,60.730865759161382,Taman Sari,Jakarta Barat,DKI Jakarta,19576,0.588986514000000,5293,11530,2753
253,KRAMAT,72.649268553807289,Senen,Jakarta Pusat,DKI Jakarta,36549,0.593668773000000,11289,21698,3562
254,SUSUKAN,211.875272551367772,Ciracas,Jakarta Timur,DKI Jakarta,48613,0.594861457000000,16070,28918,3625
255,PENJARINGAN,444.220275314397838,Penjaringan,Jakarta Utara,DKI Jakarta,114099,0.592739638000000,38855,67631,7613
256,GUNUNG SAHARI SELATAN,167.095523055930101,Kemayoran,Jakarta Pusat,DKI Jakarta,24055,0.587694866000000,7062,14137,2856
257,KWITANG,43.153986101928709,Senen,Jakarta Pusat,DKI Jakarta,19248,0.577878221000000,5983,11123,2142
258,SERDANG,81.702653548849682,Kemayoran,Jakarta Pusat,DKI Jakarta,37383,0.596634834000000,11930,22304,3149
259,TEBET BARAT,160.945536570033681,Tebet,Jakarta Selatan,DKI Jakarta,25489,0.596492605000000,7123,15204,3162
