jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1 (BLOK M - KOTA),2.207.527
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),752.528
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),917.72
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),672.542
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),866.033
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),916.055
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),882.899
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),962.541
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1.347.706
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),714.008
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),262.601
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),200.059
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),660.426
ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,92.834
ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,59.098
ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,28.968
ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,50.108
ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,114.099
ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,53.741
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,27.028
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,33.082
ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,30.444
ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.096
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,33.363
ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,28.725
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,22.079
ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,180.099
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,14.927
ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,126.685
ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - RATULANGI,4.855
ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,4.682
ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,4.757
ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,4.951
ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,30.855
ANGKUTAN UMUM INTEGRASI,5B,STASIUN TEBET - BIDARA CINA,38.476
ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,62.045
ANGKUTAN UMUM INTEGRASI,6C,STASIUN TEBET - KARET,251.666
