jenis,kode_trayek,trayek,jumlah_penumpang
ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - STASIUN SENEN,118.439
ANGKUTAN UMUM INTEGRASI,6M,BLOK M - STASIUN MANGGARAI,80.07
ANGKUTAN UMUM INTEGRASI,6N,RAGUNAN - BLOK M VIA KEMANG,87.38
ANGKUTAN UMUM INTEGRASI,6Q,EPICENTRUM - CASABLANCA,11.004
ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,92.905
ANGKUTAN UMUM INTEGRASI,7B,KAMPUNG RAMBUTAN - BLOK M,72.716
ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,63.315
ANGKUTAN UMUM INTEGRASI,7E,KAMPUNG RAMBUTAN - RAGUNAN,10.631
ANGKUTAN UMUM INTEGRASI,7N,GANDARIA - KAMPUNG RAMBUTAN,6.408
ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,90.598
ANGKUTAN UMUM INTEGRASI,8D,JOGLO - BLOK M,76.844
ANGKUTAN UMUM INTEGRASI,8E,BINTARO - BLOK M,48.356
ANGKUTAN UMUM INTEGRASI,8K,BATUSARI - TANAH ABANG,31.531
ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,108.139
ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,61.785
ANGKUTAN UMUM INTEGRASI,9H,CIPEDAK - BLOK M,52.657
ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,10.304
TRANSJABODETABEK,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),77.757
TRANSJABODETABEK,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,57.327
TRANSJABODETABEK,11T,PULO GEBANG - STASIUN CAKUNG,1.023
TRANSJABODETABEK,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,6.355
TRANSJABODETABEK,12A,KOTA - PELABUHAN KALIADEM,12.804
TRANSJABODETABEK,12B,PLUIT - STASIUN SENEN,29.298
TRANSJABODETABEK,12E,HISTORY OF JAKARTA EXPLORER,5.789
TRANSJABODETABEK,12K,ASEMKA EXPLORER,5.952
TRANSJABODETABEK,1Q,REMPOA - BLOK M,40.476
TRANSJABODETABEK,,CSW - PAKUBUWONO,13
TRANSJABODETABEK,,CSW - KRAMTA PELA,9
TRANSJABODETABEK,,CSW - WIJAYA,12
TRANSJABODETABEK,B11,SUMMARECON BEKASI - TOSARI,57.611
TRANSJABODETABEK,B12,SUMMARECON BEKASI - TANJUNG PRIOK,37.87
TRANSJABODETABEK,B21,BEKASI TIMUR - GROGOL 2,74.794
TRANSJABODETABEK,B13,BEKASI BARAT - BLOK M,16.69
TRANSJABODETABEK,B14,BEKASI BARAT - KUNINGAN,12.221
TRANSJABODETABEK,B22,BEKASI TIMUR - JUANDA,47.914
TRANSJABODETABEK,B23,BEKASI TIMUR - TEBET,845
TRANSJABODETABEK,B24,BEKASI TIMUR - KALIDERES,5.084
ANGKUTAN EKSEKUTIF ROYAL TRANS ,1K,CIBUBUR JUNCTION - BLOK M,11.258
ANGKUTAN EKSEKUTIF ROYAL TRANS ,1T,CIBUBUR - KOTA,7.937
TRANSJABODETABEK,6P,CIBUBUR - KUNINGAN,8.564
TRANSJABODETABEK,1U,TAMAN MINI - BALAI KOTA,2.22
TRANSJABODETABEK,D31,CINERE - KUNINGAN,810
TRANSJABODETABEK,S31,BINTARO - BLOK M VIA JORR,3.879
TRANSJABODETABEK,S12,BSD - BUNDERAN SENAYAN,4.763
TRANSJABODETABEK,D11,DEPOK - BKN,86.741
TRANSJABODETABEK,S11,BSD - GROGOL 2,105.93
TRANSJABODETABEK,S21,CIPUTAT - TOSARI,142.157
TRANSJABODETABEK,S22,CIPUTAT - KAMPUNG RAMBUTAN,96.647
TRANSJABODETABEK,T11,PORIS PLAWAD - BUNDARAN SENAYAN,200.373
TRANSJABODETABEK,T12,PORIS PLAWAD - JUANDA,71.479
TRANSJABODETABEK,7C,CIBUBUR - BKN,163.816
ANGKUTAN UMUM LAINNYA ,2B,HARAPAN INDAH - ASMI,88.021
ANGKUTAN UMUM LAINNYA ,S41,PONDOK CABE - TANAH ABANG,19.263
ANGKUTAN UMUM LAINNYA ,D21,JATIJAJAR - LEBAK BULUS,49.217
ANGKUTAN UMUM LAINNYA ,GR1,BUNDARAN SENAYAN - HARMONI (BUS GRATIS),346.616
ANGKUTAN UMUM LAINNYA ,GR2,TANAH ABANG EXPLORER,289.405
ANGKUTAN UMUM LAINNYA ,NC3,POLDA - GBK (VIA SCBD),24.254
ANGKUTAN UMUM LAINNYA ,,ROMBONGAN JIC-CIBUBUR (BERBAYAR),55
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-1,TANJUNG PRIOK-PLUMPANG,58.337
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,55.925
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-3,LEBAK BULUS - PONDOK LABU,53.128
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-4,GROGOL - TUBAGUS ANGKE,61.1
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-5,SEMPER - ROROTAN,81.507
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,72.412
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-7,TANAH ABANG-TAWAKAL,69.964
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-10,TANAH ABANG-KOTA,7.358
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-11,TANAH ABANG-KEBAYORAN LAMA,29.529
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-12,TANAH ABANG- KAMPUNG BARU KEBAYORAN,18.217
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-14,TANAH ABANG-MERUYA,45.261
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-15,BULAK TURI - TANJUNG PRIOK,159.593
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-16,PGC - CONDET,130.817
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-17,PULOGADUNG - SENEN ,42.869
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-18,KALIBATA - KUNINGAN,34.877
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-19,PINANG RANTI - SETU,193.142
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-20,LUBANG BUAYA - CAWANG UKI,98.835
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-21,DWIKORA - CILILITAN,119.449
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-22,DWIKORA - PENAS,30.581
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-24,PULOGADUNG-PASAR SENEN,47.235
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-25,PASAR REBO - KALISARI,65.306
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-26,RAWAMANGUN-KALIMALANG,60.513
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-27,PULOGEBANG - ROROTAN,71.503
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-28,PASAR REBO - TAMAN WILADATIKA,78.013
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-29,TANJUNG PRIOK - KELAPA GADING,126.032
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-30,MERUYA - CITRALAND,190.083
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-31,BLOK M - PONDOK LABU,105.397
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-32,PETUKANGAN - LEBAK BULUS,126.628
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-33,PULO GADUNG - KOTA,64.536
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-37,CILILITAN - CONDET VIA KAYU MANIS,113.454
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-44,LENTENG ANGGUNG - ANDARA,12.357
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-45,LEBAK BULUS-RAGUNAN,91.575
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-50,KALIDERES - PURIKEMBANGAN,51.962
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-51,TAMAN KOTA - BUDI LUHUR,98.377
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-58,ISLAMIC - ROROTAN,60.939
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-59,RAWAMANGUN-RAWASENGON,87.98
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-61,PULOGADUNG-CEMPAKA MAS,30.322
ANGKUTAN WISATA,BW1,SEJARAH JAKARTA,109.483
ANGKUTAN WISATA,BW2,JAKARTA MODERN,63.613
ANGKUTAN WISATA,BW3,PENCAKAR LANGIT,36.135
ANGKUTAN WISATA,BW5,WISATA KALIJODO,21.11
ANGKUTAN WISATA,BW6,MAKAM MBAH PRIUK,2.374
ANGKUTAN WISATA,BW7,JAKARTA BELANJA,9.4
ANGKUTAN UMUM INTEGRASI RUSUN,2E,RUSUN RAWA BEBEK - PAKIN,14.999
ANGKUTAN UMUM INTEGRASI RUSUN,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,26.413
ANGKUTAN UMUM INTEGRASI RUSUN,2H,RUSUN JATI RAWASARI - SENEN,4.3
ANGKUTAN UMUM INTEGRASI RUSUN,3A,RUSUN PESAKIH - KALIDERES,28.072
ANGKUTAN UMUM INTEGRASI RUSUN,3B,RUSUN FLAMBOYAN - KALIDERES,7.457
ANGKUTAN UMUM INTEGRASI RUSUN,3C,RUSUN KAPUK MUARA - PENJARINGAN,6.268
ANGKUTAN UMUM INTEGRASI RUSUN,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2.667
ANGKUTAN UMUM INTEGRASI RUSUN,9F,RUSUN TAMBORA - PLUIT,6.333
ANGKUTAN UMUM INTEGRASI RUSUN,10A,RUSUN MARUNDA - TANJUNG PRIOK,48.037
ANGKUTAN UMUM INTEGRASI RUSUN,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,8.657
ANGKUTAN UMUM INTEGRASI RUSUN,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6.666
ANGKUTAN UMUM INTEGRASI RUSUN,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,25.414
ANGKUTAN UMUM INTEGRASI RUSUN,11K,RUSUN KOMARUDIN - PENGGILINGAN,8.432
ANGKUTAN UMUM INTEGRASI RUSUN,11M,RUSUN RAWA BEBEK - BUKIT DURI,34.202
ANGKUTAN UMUM INTEGRASI RUSUN,11N,RUSUN CIPINANG MUARA - JATINEGARA,2.979
ANGKUTAN UMUM INTEGRASI RUSUN,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,3.185
ANGKUTAN UMUM INTEGRASI RUSUN,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,7.406
ANGKUTAN UMUM INTEGRASI RUSUN,12C,RUSUN WADUK PLUIT- PENJARINGAN,9.074
ANGKUTAN UMUM INTEGRASI RUSUN,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),7.279
ANGKUTAN UMUM INTEGRASI RUSUN,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,25.37
ANGKUTAN UMUM INTEGRASI RUSUN,12H,RUSUN PENJARINGAN - PENJARINGAN,4.572
 ANGKUTAN UMUM LAINNYA ,TJC,TRANSJAKARTA CARES,3.519
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA - BALAI KOTA,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA - MOI,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PAGUYUBAN LANSIA KOTAMADYA JAKSEL,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA-RAGUNAN,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN DPR MRT,195
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN INDO TEMPO DOELOE,64
 ANGKUTAN UMUM LAINNYA ,R45,ROMBONGAN IHF TROFI TAHUN 2019,343
LAMPIRAN LAYANAN GRATIS BRT,G1,GRATIS GATE NON BRT,2.706
LAMPIRAN LAYANAN GRATIS BRT,PNS,GRATIS PNS DKI DAN PENSIUNAN PNS,43.157
LAMPIRAN LAYANAN GRATIS BRT,TKD,GRATIS TENAGA KONTRAK DKI,21.437
LAMPIRAN LAYANAN GRATIS BRT,KJP,GRATIS PENERIMA KJP,40.663
LAMPIRAN LAYANAN GRATIS BRT,KST,GRATIS KARYAWAN SWASTA TERTENTU,3.984
LAMPIRAN LAYANAN GRATIS BRT,RSN,GRATIS PENGHUNI RUMAH SUSUN,24.184
LAMPIRAN LAYANAN GRATIS BRT,PAS,GRATIS KTP KEPULAUAN SERIBU,548
LAMPIRAN LAYANAN GRATIS BRT,PBS,GRATIS PENERIMA RASKIN,1.415
LAMPIRAN LAYANAN GRATIS BRT,TNI,GRATIS TNI/POLRI,0
LAMPIRAN LAYANAN GRATIS BRT,VET,GRATIS VETERAN,0
LAMPIRAN LAYANAN GRATIS BRT,KPD,GRATIS PENYANDANG DISABILITAS,7.17
LAMPIRAN LAYANAN GRATIS BRT,PLU,GRATIS LANSIA,341.904
LAMPIRAN LAYANAN GRATIS BRT,MAR,GRATIS MARBOT,20
LAMPIRAN LAYANAN GRATIS BRT,PAUD,GRATIS PAUD,6.677
LAMPIRAN LAYANAN GRATIS BRT,JMT,GRATIS JUMANTIK,6.481
