jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1,1.992.685
BRT,2,KORIDOR 2,689.898
BRT,3,KORIDOR 3,849.307
BRT,4,KORIDOR 4,571.404
BRT,5,KORIDOR 5,793.867
BRT,6,KORIDOR 6,878.813
BRT,7,KORIDOR 7,778.593
BRT,8,KORIDOR 8,840.084
BRT,9,KORIDOR 9,1.269.564
BRT,10,KORIDOR 10,660.344
BRT,11,KORIDOR 11,233.418
BRT,12,KORIDOR 12,189.321
BRT,13,KORIDOR 13,594.052
ANGKUTAN UMUM INTEGRASI,1A,BALAIKOTA - PIK,87.218
ANGKUTAN UMUM INTEGRASI,1B,ST. PALMERAH - TOSARI,56.313
ANGKUTAN UMUM INTEGRASI,1F,ST. PALMERAH - SENAYAN,27.249
ANGKUTAN UMUM INTEGRASI,1C,BLOK M - PESANGGARAHAN,41.241
ANGKUTAN UMUM INTEGRASI,1E,BLOK M - PONDOK LABU,90.158
ANGKUTAN UMUM INTEGRASI,1H,TANAH ABANG - GONDANGDIA,51.419
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,28.161
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,28.269
ANGKUTAN UMUM INTEGRASI,1R,SENEN - TANAH ABANG,12.95
ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.309
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,26.559
ANGKUTAN UMUM INTEGRASI,3E,CENTRAL LAND - PURI KEMBANGAN,20.852
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,19.437
ANGKUTAN UMUM INTEGRASI,4B,ST. MANGGARAI - UI,167.948
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,13.431
ANGKUTAN UMUM INTEGRASI,4F,PULO GADUNG - PONDOK GEDE,105.442
ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,33.443
ANGKUTAN UMUM INTEGRASI,5B,ST. TEBET - BIDARA CINA,32.963
ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,48.798
ANGKUTAN UMUM INTEGRASI,6C,ST. TEBET - KARET,222.987
ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - SENEN,113.978
ANGKUTAN UMUM INTEGRASI,6M,ST. MANGGARAI - BLOK M,72.458
ANGKUTAN UMUM INTEGRASI,6N,BLOK M - RAGUNAN VIA KEMANG,77.974
ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,94.725
ANGKUTAN UMUM INTEGRASI,7B,BLOK M - KAMPUNG RAMBUTAN,54.613
ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,52.519
ANGKUTAN UMUM INTEGRASI,7E,RAGUNAN - RAMBUTAN,8.7
ANGKUTAN UMUM INTEGRASI,7N,KAMPUNG RAMBUTAN - GANDARIA,1.512
ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,71.673
ANGKUTAN UMUM INTEGRASI,8D,BLOK M - JOGLO,61.478
ANGKUTAN UMUM INTEGRASI,8E,BLOK M - BINTARO KODAM,39.339
ANGKUTAN UMUM INTEGRASI,8K,TANAH ABANG - BATU SARI,20.446
ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,94.222
ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,57.126
ANGKUTAN UMUM INTEGRASI,9H,BLOK M - CIPEDAK,39.103
ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,9.716
ANGKUTAN UMUM INTEGRASI,11D,PULO GEBANG - PULO GADUNG (VIA PIK),71.86
ANGKUTAN UMUM INTEGRASI,11Q,PULO GEBANG - KAMPUNG MELAYU VIA BKT,50.486
ANGKUTAN UMUM INTEGRASI,11T,PULO GEBANG - STASIUN CAKUNG,150
ANGKUTAN UMUM INTEGRASI,11U,PULO GEBANG - CAKUNG - CILINCING,1.569
ANGKUTAN UMUM INTEGRASI,12A,KOTA - PELABUHAN KALIADEM,6.662
ANGKUTAN UMUM INTEGRASI,12B,PLUIT - SENEN,28.389
ANGKUTAN UMUM INTEGRASI,S23,BLOK M - REMPOA,30.548
TRANSJABODETABEK,12E,HISTORY OF JAKARTA EXPLORER (KOTA TUA),3
TRANSJABODETABEK,12K,ASEMKA - EXPLORER,432
TRANSJABODETABEK,B11,SUMMARECON BEKASI - TOSARI,54.488
TRANSJABODETABEK,B12,SUMMARECON BEKASI - TANJUNG PRIOK,34.366
TRANSJABODETABEK,B21,BEKASI TIMUR - GROGOL 2,70.7
TRANSJABODETABEK,B13,BEKASI BARAT - BLOK M,14.455
TRANSJABODETABEK,B14,BEKASI BARAT - KUNINGAN,10.753
ANGKUTAN EKSEKUTIF ROYAL TRANS ,B22,BEKASI TIMUR - PASAR BARU,45.386
ANGKUTAN EKSEKUTIF ROYAL TRANS ,B23,BEKASI TIMUR - TEBET,920
TRANSJABODETABEK,B24,BEKASI TIMUR - KALIDERES,5.053
TRANSJABODETABEK,1K,BLOK M - CIBUBUR,7.368
ANGKUTAN EKSEKUTIF ROYAL TRANS ,CKT,CIBUBUR - KOTA,4.316
ANGKUTAN EKSEKUTIF ROYAL TRANS ,CKN,CIBUBUR - KUNINGAN,4.886
TRANSJABODETABEK,D11,DEPOK - BNN,74.269
TRANSJABODETABEK,S11,SERPONG - GROGOL 2,97.986
TRANSJABODETABEK,S21,CIPUTAT - TOSARI,127.101
TRANSJABODETABEK,S22,CIPUTAT - KP. RAMBUTAN,79.591
TRANSJABODETABEK,T11,PORIS PLAWAD - BUNDARAN SENAYAN,180.512
TRANSJABODETABEK,T12,PORIS PLAWAD - PASAR BARU,65.911
TRANSJABODETABEK,7C,CIBUBUR JUNCTION - UKI,143.8
TRANSJABODETABEK,2B,HARAPAN INDAH - ASMI,85.6
ANGKUTAN UMUM LAINNYA ,GR1,BUNDARAN SENAYAN - HARMONI (BUS GRATIS),325.998
ANGKUTAN UMUM LAINNYA ,GR2,TANAH ABANG EXPLORER,220.747
ANGKUTAN UMUM LAINNYA ,X,POLDA - GBK (VIA SCBD),19.77
ANGKUTAN UMUM LAINNYA ,,RAGUNAN - SMK 57,0
ANGKUTAN UMUM LAINNYA ,,MARUNDA-RAGUNAN,0
ANGKUTAN UMUM LAINNYA ,JAK-1,TANJUNG PRIOK-PLUMPANG,53.593
ANGKUTAN UMUM LAINNYA ,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,50.86
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-3,LEBAK BULUS - PONDOK LABU,42.41
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-4,GROGOL - TUBAGUS ANGKE,53.607
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-5,SEMPER - ROROTAN,75.574
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,63.508
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-7,TANAH ABANG-TAWAKAL,79.468
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-10,TANAH ABANG-KOTA,6.025
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-11,TANAH ABANG-KEBAYORAN LAMA,20.473
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-12,TANAH ABANG- KAMPUNG BARU KEBAYORAN,12.363
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-14,TANAH ABANG-MERUYA,31.04
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-15,BULAK TURI - TANJUNG PRIOK,159.866
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-16,PGC - CONDET,119.448
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-17,PULOGADUNG - SENEN ,49.191
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-18,KALIBATA - KUNINGAN,28.501
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-19,PINANG RANTI - SETU,185.51
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-20,LUBANG BUAYA - CAWANG UKI,76.737
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-21,DWIKORA - CILILITAN,106.905
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-22,DWIKORA - PENAS,28.418
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-24,PULOGADUNG-PASAR SENEN,7.039
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-25,PASAR REBO - KALISARI,56.904
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-26,RAWAMANGUN-KALIMALANG,47.995
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-27,PULOGEBANG - ROROTAN,62.052
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-28,PASAR REBO - TAMAN WILADATIKA,67.117
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-29,TANJUNG PRIOK - KELAPA GADING,119.112
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-30,MERUYA - CITRALAND,179.517
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-31,BLOK M - PONDOK LABU,90.468
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-32,PETUKANGAN - LEBAK BULUS,103.853
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-33,PULO GADUNG - KOTA,50.959
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-37,CILILITAN - CONDET VIA KAYU MANIS,80.633
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-45,LEBAK BULUS-RAGUNAN,3.039
ANGKUTAN WISATA,JAK-51,TAMAN KOTA - BUDI LUHUR,34.861
ANGKUTAN WISATA,JAK-59,RAWAMANGUN-RAWASENGON,15.321
ANGKUTAN WISATA,JAK-61,PULOGADUNG-CEMPAKA MAS,1.529
ANGKUTAN WISATA,BW1,HISTORY OF JAKARTA,88.77
ANGKUTAN WISATA,BW2,JAKARTA MODERN,39.088
ANGKUTAN WISATA,BW3,PENCAKAR LANGIT,28.292
ANGKUTAN UMUM INTEGRASI RUSUN,BW5,WISATA KALIJODO,22.235
ANGKUTAN UMUM INTEGRASI RUSUN,BW6,MAKAM MBAH PRIUK,3.059
ANGKUTAN UMUM INTEGRASI RUSUN,BW7,JAKARTA SHOPING MALL,7.059
ANGKUTAN UMUM INTEGRASI RUSUN,2E,RUSUN RAWA BEBEK - PAKIN,10.922
ANGKUTAN UMUM INTEGRASI RUSUN,2F,RUSUN CAKUNG BARAT (ALBO) - PULO GADUNG 1,24.628
ANGKUTAN UMUM INTEGRASI RUSUN,2H,RUSUN JATI RAWASARI - SENEN,3.864
ANGKUTAN UMUM INTEGRASI RUSUN,3A,RUSUN PESAKIH - KALIDERES,25.846
ANGKUTAN UMUM INTEGRASI RUSUN,3B,RUSUN FLAMBOYAN - KALIDERES,6.725
ANGKUTAN UMUM INTEGRASI RUSUN,3C,RUSUN KAPUK MUARA - PENJARINGAN,4.38
ANGKUTAN UMUM INTEGRASI RUSUN,4E,RUSUN JATINEGARA KAUM - PULO GADUNG 2,2.448
ANGKUTAN UMUM INTEGRASI RUSUN,9F,RUSUN TAMBORA - PLUIT,6.014
ANGKUTAN UMUM INTEGRASI RUSUN,10A,RUSUN MARUNDA - TANJUNG PRIOK,43.566
ANGKUTAN UMUM INTEGRASI RUSUN,10B,RUSUN CIPINANG BESAR SELATAN - PENAS KALIMALANG,8.125
ANGKUTAN UMUM INTEGRASI RUSUN,11B,RUSUN RAWA BEBEK - PENGGILINGAN,6.766
ANGKUTAN UMUM INTEGRASI RUSUN,11C,RUSUN PINUS ELOK - RUSUN PULO GEBANG,25.633
ANGKUTAN UMUM INTEGRASI RUSUN,11K,RUSUN KOMARUDIN - PENGGILINGAN,7.823
ANGKUTAN UMUM INTEGRASI RUSUN,11M,RUSUN RAWA BEBEK - BUKIT DURI,32.138
ANGKUTAN UMUM INTEGRASI RUSUN,11N,RUSUN CIPINANG MUARA - JATINEGARA,2.433
ANGKUTAN UMUM INTEGRASI RUSUN,11P,RUSUN PONDOK BAMBU - WALIKOTA JAKARTA TIMUR,2.646
ANGKUTAN UMUM INTEGRASI RUSUN,11R,RUSUN CAKUNG KM 2 - BUKIT DURI,6.189
ANGKUTAN UMUM INTEGRASI RUSUN,12C,RUSUN WADUK PLUIT- PENJARINGAN,7.635
 ANGKUTAN UMUM LAINNYA ,12D,RUSUN SUKAPURA - SUNTER (VIA KELAPA GADING),6.441
 ANGKUTAN UMUM LAINNYA ,12F,RUSUN MARUNDA - RUSUN WADUK PLUIT,23.995
 ANGKUTAN UMUM LAINNYA ,12H,RUSUN PENJARINGAN - PENJARINGAN,4.422
 ANGKUTAN UMUM LAINNYA ,TJC,TRANSJAKARTA CARES,3.903
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN NATAL DKI ANCOL,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PAGUYUBAN LANSIA KOTAMADYA JAKSEL,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN MARUNDA - BALAI KOTA,65
 ANGKUTAN UMUM LAINNYA ,,ACARA MUI DKI MONAS,1.187
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PRAMUKA NAHDATUL ULAMA,6.916
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PKK CIBUBUR,60
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN PAUD,136
LAMPIRAN LAYANAN GRATIS BRT,Y,GRATIS GATE NON BRT,2.568
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PNS DKI DAN PENSIUNAN PNS,40.706
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS TENAGA KONTRAK DKI,18.817
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PENERIMA KJP,38.496
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS KARYAWAN SWASTA TERTENTU,2.857
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PENGHUNI RUMAH SUSUN,24.302
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS KTP KEPULAUAN SERIBU,717
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PENERIMA RASKIN,1.718
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS TNI/POLRI,0
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS VETERAN,0
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PENYANDANG DISABILITAS,7.113
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS LANSIA,397.533
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS MARBOT,18
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS PAUD,6.163
LAMPIRAN LAYANAN GRATIS BRT,,GRATIS JUMANTIK,5.926
