jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1,2.334.201
BRT,2,KORIDOR 2,792.477
BRT,3,KORIDOR 3,969.851
BRT,4,KORIDOR 4,719.166
BRT,5,KORIDOR 5,899.931
BRT,6,KORIDOR 6,963.201
BRT,7,KORIDOR 7,903.702
BRT,8,KORIDOR 8,982.084
BRT,9,KORIDOR 9,1.422.880
BRT,10,KORIDOR 10,754.684
BRT,11,KORIDOR 11,265.24
BRT,12,KORIDOR 12,217.568
BRT,13,KORIDOR 13,679.171
ANGKUTAN UMUM INTEGRASI,1A,BALAIKOTA - PIK,96.713
ANGKUTAN UMUM INTEGRASI,1B,ST. PALMERAH - TOSARI,63.849
ANGKUTAN UMUM INTEGRASI,1F,ST. PALMERAH - SENAYAN,32.015
ANGKUTAN UMUM INTEGRASI,1C,BLOK M - PESANGGARAHAN,49.225
ANGKUTAN UMUM INTEGRASI,1E,BLOK M - PONDOK LABU,121.38
ANGKUTAN UMUM INTEGRASI,1H,TANAH ABANG - GONDANGDIA,56.388
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,29.244
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,39.712
ANGKUTAN UMUM INTEGRASI,1R,SENEN - TANAH ABANG,25.138
ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.518
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,34.676
ANGKUTAN UMUM INTEGRASI,3E,CENTRAL LAND - PURI KEMBANGAN,26.632
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,21.966
ANGKUTAN UMUM INTEGRASI,4B,ST. MANGGARAI - UI,188.003
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,15.454
ANGKUTAN UMUM INTEGRASI,4F,PULO GADUNG - PONDOK GEDE,120.788
ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - RATULANGI,2.473
ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,2.413
ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,2.724
ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,2.758
ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,37.074
ANGKUTAN UMUM INTEGRASI,5B,ST. TEBET - BIDARA CINA,38.971
ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,56.679
ANGKUTAN UMUM INTEGRASI,6C,ST. TEBET - KARET,254.441
ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - SENEN,127.312
ANGKUTAN UMUM INTEGRASI,6M,ST. MANGGARAI - BLOK M,83.123
ANGKUTAN UMUM INTEGRASI,6N,BLOK M - RAGUNAN VIA KEMANG,88.164
ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,105.416
ANGKUTAN UMUM INTEGRASI,7B,BLOK M - KAMPUNG RAMBUTAN,65.413
ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,61.367
ANGKUTAN UMUM INTEGRASI,7E,RAGUNAN - RAMBUTAN,10.73
ANGKUTAN UMUM INTEGRASI,7N,KAMPUNG RAMBUTAN - GANDARIA,6.03
ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,87.287
