jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1 (BLOK M - KOTA),2.436.733
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),889.636
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.044.886
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),765.042
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1.049.104
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1.025.476
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),999.683
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1.074.045
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1.506.442
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),821.742
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),329.618
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),252.597
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),754.331
ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,113.005
ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,61.875
ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,37.216
ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,57.572
ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,164.186
ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,66.926
ANGKUTAN UMUM INTEGRASI,1M ,BLOK M - MERUYA,41.257
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,35.025
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,35.003
ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,65.226
ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,47.665
ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.755
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,37.434
ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,44.635
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,25.174
ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,211.915
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,16.555
ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,130.694
