jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1 (BLOK M - KOTA),2.042.807
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),715.613
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),838.896
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),613.074
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),914.052
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),847.643
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),911.756
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),877.701
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1.179.321
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),680.153
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),285.162
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),259.603
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),595.283
ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,80.221
ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,47.253
ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,21.414
ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,50.098
ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,116.347
ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,45.144
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,28.045
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,30.685
ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,46.127
ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,39.563
ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,3.332
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,25.338
ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,30.854
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,19.551
ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,160.441
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,10.476
ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,122.945
ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - RATULANGI,8.171
ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,7.066
ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,7.648
ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,7.411
TRANSJABODETABEK,5A,KAMPUNG MELAYU - GROGOL 1,22.624
TRANSJABODETABEK,5B,STASIUN TEBET - BIDARA CINA,35.106
TRANSJABODETABEK,5F,KAMPUNG MELAYU - TANAH ABANG,49.31
TRANSJABODETABEK,6C,STASIUN TEBET - KARET,206.659
TRANSJABODETABEK,6H,LEBAK BULUS - STASIUN SENEN,99.984
TRANSJABODETABEK,6M,BLOK M - STASIUN MANGGARAI,66.108
TRANSJABODETABEK,6N,RAGUNAN - BLOK M VIA KEMANG,85.018
TRANSJABODETABEK,6Q,EPICENTRUM - CASABLANCA,9.889
TRANSJABODETABEK,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,80.308
TRANSJABODETABEK,7B,KAMPUNG RAMBUTAN - BLOK M,79.242
TRANSJABODETABEK,7D,CAWANG UKI - TMII,70.547
TRANSJABODETABEK,7E,KAMPUNG RAMBUTAN - RAGUNAN,10.251
TRANSJABODETABEK,7N,GANDARIA - KAMPUNG RAMBUTAN,9.175
TRANSJABODETABEK,8C,KEBAYORAN LAMA - TANAH ABANG,71.019
TRANSJABODETABEK,8D,JOGLO - BLOK M,69.409
TRANSJABODETABEK,8E,BINTARO - BLOK M,46.281
TRANSJABODETABEK,8K,BATUSARI - TANAH ABANG,28.597
TRANSJABODETABEK,9D,PASAR MINGGU - TANAH ABANG,88.135
TRANSJABODETABEK,9E,KEBAYORAN LAMA - GROGOL 2,49.229
TRANSJABODETABEK,9H,CIPEDAK - BLOK M,53.424
TRANSJABODETABEK,11A,PULO GEBANG - RAWAMANGUN,11.288
TRANSJABODETABEK,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),69.403
TRANSJABODETABEK,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,50.221
TRANSJABODETABEK,11T,PULO GEBANG - STASIUN CAKUNG,730
TRANSJABODETABEK,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,7.798
TRANSJABODETABEK,11E,PULO GEBANG - LEBAK BULUS,445
TRANSJABODETABEK,11H,PULO GEBANG - PINANG RANTI,350
TRANSJABODETABEK,11F,PULO GEBANG - PASAR MINGGU,244
TRANSJABODETABEK,10E,PULO GEBANG - TANJUNG PRIUK,675
TRANSJABODETABEK,12A,KOTA - PELABUHAN KALIADEM,15.641
TRANSJABODETABEK,12B,PLUIT - STASIUN SENEN,25.103
TRANSJABODETABEK,12E,HISTORY OF JAKARTA EXPLORER,10.674
TRANSJABODETABEK,12K,ASEMKA EXPLORER,9.971
TRANSJABODETABEK,MR1,CSW - PAKUBUWONO,1.272
TRANSJABODETABEK,MR2,CSW - KRAMAT PELA,5.919
TRANSJABODETABEK,MR3,CSW - WIJAYA,2.3
TRANSJABODETABEK,MR5,STASIUN MRT BLOK A - RADIO DALAM,3.289
TRANSJABODETABEK,MR8,CIPETE - ANTASARI,3.293
TRANSJABODETABEK,,TAMAN MINI - KAMPUNG RAMBUTAN,12
TRANSJABODETABEK,1M,BLOK M - MERUYA,7.611
TRANSJABODETABEK,,PONDOK KELAPA - BKN,142
TRANSJABODETABEK,B11,SUMMARECON BEKASI - TOSARI,52.413
TRANSJABODETABEK,B12,SUMMARECON BEKASI - TANJUNG PRIOK,34.176
TRANSJABODETABEK,B21,BEKASI TIMUR - GROGOL 2,74.285
TRANSJABODETABEK,B22,BEKASI TIMUR - JUANDA,48.045
TRANSJABODETABEK,D11,DEPOK - BKN,89.482
TRANSJABODETABEK,D21,UI - LEBAK BULUS,78.493
TRANSJABODETABEK,S11,BSD - GROGOL 2,90.786
TRANSJABODETABEK,S21,CIPUTAT - TOSARI,128.626
TRANSJABODETABEK,S22,CIPUTAT - KAMPUNG RAMBUTAN,86.934
TRANSJABODETABEK,S41,PONDOK CABE - TANAH ABANG,34.593
TRANSJABODETABEK,T11,PORIS PLAWAD - BUNDARAN SENAYAN,177.813
TRANSJABODETABEK,T12,PORIS PLAWAD - JUANDA,65.624
TRANSJABODETABEK,7C,CIBUBUR - BKN,149.111
TRANSJABODETABEK,2B,HARAPAN INDAH - ASMI,86.241
TRANSJABODETABEK,B13,BEKASI BARAT - BLOK M,12.727
TRANSJABODETABEK,B14,BEKASI BARAT - KUNINGAN,10.301
TRANSJABODETABEK,B23,BEKASI TIMUR - TEBET,643
TRANSJABODETABEK,B24,BEKASI TIMUR - KALIDERES,4.011
TRANSJABODETABEK,1K,CIBUBUR JUNCTION - BLOK M,10.875
ANGKUTAN EKSEKUTIF ROYAL TRANS ,1T,CIBUBUR - KOTA,8.93
ANGKUTAN EKSEKUTIF ROYAL TRANS ,6P,CIBUBUR - KUNINGAN,9.132
TRANSJABODETABEK,13A,CBD - MONAS,0
TRANSJABODETABEK,1U,TAMAN MINI - BALAI KOTA,2.735
TRANSJABODETABEK,D31,CINERE - KUNINGAN,979
TRANSJABODETABEK,S31,BINTARO - BLOK M VIA JORR,6.713
TRANSJABODETABEK,S12,BSD - BUNDERAN SENAYAN,7.978
TRANSJABODETABEK,,JATI BENING - BLOK M,1.872
TRANSJABODETABEK,,JATI BENING - KUNINGAN,595
TRANSJABODETABEK,GR1,BUNDARAN SENAYAN - HARMONI (BUS GRATIS),241.225
TRANSJABODETABEK,GR2,TANAH ABANG EXPLORER,160.395
TRANSJABODETABEK,TJC,TRANSJAKARTA CARES,3.054
 ANGKUTAN UMUM LAINNYA ,,GRATIS GATE NON BRT,2.336
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN IHF TROFI TAHUN 2019,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN RUMAH ZAKAT,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN YAYASAN PANTI NURUL HUDA,0
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN ANAK YATIM  Y.P PETAMBURAN,0
 ANGKUTAN UMUM LAINNYA ,,SHUTTLE BUS PULO GEBANG - PULO GADUNG,1.882
 ANGKUTAN UMUM LAINNYA ,,SHUTTLE BUS RAGUNAN - SMK 57,3.756
 ANGKUTAN UMUM LAINNYA ,,ROMBONGAN TOUR DE BATAVIA,104
 ANGKUTAN UMUM LAINNYA ,,SHUTTLE THAMRIN 10 - LAPANGAN BANTENG,1.763
 ANGKUTAN UMUM LAINNYA ,,SHUTTLE IRTI - LAPANGAN BANTENG,4.605
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-1,TANJUNG PRIOK-PLUMPANG,59.509
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-2,DUREN SAWIT - KAMPUNG MELAYU,52.939
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-3,LEBAK BULUS - PONDOK LABU,50.101
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-4,GROGOL - TUBAGUS ANGKE,55.423
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-5,SEMPER - ROROTAN,76.122
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-6,KAMPUNG RAMBUTAN - PONDOK GEDE,72.582
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-7,TANAH ABANG-TAWAKAL,58.706
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-10,TANAH ABANG-KOTA,15.606
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-11,TANAH ABANG-KEBAYORAN LAMA,27.277
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-12,TANAH ABANG- KAMPUNG BARU KEBAYORAN,20.719
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-14,TANAH ABANG-MERUYA,65.011
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-15,BULAK TURI - TANJUNG PRIOK,152.281
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-16,PGC - CONDET,109.456
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-17,PULOGADUNG - SENEN ,35.535
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-18,KALIBATA - KUNINGAN,31.081
 ANGKUTAN INTEGRASI BUS KECIL ,JAK-19,PINANG RANTI - SETU,171.242
