jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1,2.223.257
BRT,2,KORIDOR 2,781.605
BRT,3,KORIDOR 3,919.2
BRT,4,KORIDOR 4,669.417
BRT,5,KORIDOR 5,890.939
BRT,6,KORIDOR 6,976.411
BRT,7,KORIDOR 7,872.467
BRT,8,KORIDOR 8,911.731
BRT,9,KORIDOR 9,1.408.962
BRT,10,KORIDOR 10,737.123
BRT,11,KORIDOR 11,267.869
BRT,12,KORIDOR 12,208.326
BRT,13,KORIDOR 13,654.831
ANGKUTAN UMUM INTEGRASI,1A,BALAIKOTA - PIK,93.208
ANGKUTAN UMUM INTEGRASI,1B,ST. PALMERAH - TOSARI,62.726
ANGKUTAN UMUM INTEGRASI,1F,ST. PALMERAH - SENAYAN,33.011
ANGKUTAN UMUM INTEGRASI,1C,BLOK M - PESANGGARAHAN,44.429
ANGKUTAN UMUM INTEGRASI,1E,BLOK M - PONDOK LABU,94.933
ANGKUTAN UMUM INTEGRASI,1H,TANAH ABANG - GONDANGDIA,66.742
ANGKUTAN UMUM INTEGRASI,,TANAH ABANG - BLOK M,6.973
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,30.102
ANGKUTAN UMUM INTEGRASI,,SENEN - TANAH ABANG,351
ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.933
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,30.808
ANGKUTAN UMUM INTEGRASI,3E,CENTRAL LAND - PURI KEMBANGAN,20.084
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,21.583
ANGKUTAN UMUM INTEGRASI,4B,ST. MANGGARAI - UI,190.476
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,15.118
ANGKUTAN UMUM INTEGRASI,4F,PULO GADUNG - PONDOK GEDE,115.361
ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,36.993
ANGKUTAN UMUM INTEGRASI,5B,ST. TEBET - BIDARA CINA,38.84
ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,51.805
ANGKUTAN UMUM INTEGRASI,6C,ST. TEBET - KARET,253.604
ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - SENEN,117.637
ANGKUTAN UMUM INTEGRASI,6M,ST. MANGGARAI - BLOK M,85.123
ANGKUTAN UMUM INTEGRASI,6N,BLOK M - RAGUNAN VIA KEMANG,85.214
ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,101.146
ANGKUTAN UMUM INTEGRASI,7B,BLOK M - KAMPUNG RAMBUTAN,58.589
ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,59.773
ANGKUTAN UMUM INTEGRASI,7E,RAGUNAN - RAMBUTAN,8.435
ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,80.413
ANGKUTAN UMUM INTEGRASI,8D,BLOK M - JOGLO,73.632
ANGKUTAN UMUM INTEGRASI,8E,BLOK M - BINTARO KODAM,44.576
ANGKUTAN UMUM INTEGRASI,8K,TANAH ABANG - BATU SARI,19.579
ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,104.496
ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,58.748
ANGKUTAN UMUM INTEGRASI,9H,BLOK M - CIPEDAK,45.502
ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,12.366
ANGKUTAN UMUM INTEGRASI,11D,PULO GEBANG - PULO GADUNG (VIA PIK),78.573
