jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1 (BLOK M - KOTA),2.612.456
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),921.613
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.045.636
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),809.767
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1.093.594
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1.089.572
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),1.046.570
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1.097.511
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1.551.003
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),857.285
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),337.129
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),258.775
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),773.992
ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,112.902
ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,62.345
ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,38.658
ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,56.48
ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,154.3
ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,64.95
ANGKUTAN UMUM INTEGRASI,1M ,BLOK M - MERUYA,33.934
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,33.28
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,38.412
ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,64.279
ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,46.41
ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.847
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,35.973
ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,41.297
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,25.539
ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,206.317
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,16.322
ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,136.812
ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - RATULANGI,9.622
ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,9.33
ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,8.573
ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,9.883
ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,35.578
ANGKUTAN UMUM INTEGRASI,5B,STASIUN TEBET - BIDARA CINA,44.957
ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,62.271
ANGKUTAN UMUM INTEGRASI,6C,STASIUN TEBET - KARET,246.768
ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - STASIUN SENEN,128.456
ANGKUTAN UMUM INTEGRASI,6M,BLOK M - STASIUN MANGGARAI,85.803
ANGKUTAN UMUM INTEGRASI,6N,RAGUNAN - BLOK M VIA KEMANG,109.575
ANGKUTAN UMUM INTEGRASI,6Q,EPICENTRUM - CASABLANCA,11.293
ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,105.785
ANGKUTAN UMUM INTEGRASI,7B,KAMPUNG RAMBUTAN - BLOK M,112.711
ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,79.17
ANGKUTAN UMUM INTEGRASI,7E,KAMPUNG RAMBUTAN - RAGUNAN,15.908
ANGKUTAN UMUM INTEGRASI,7N,GANDARIA - KAMPUNG RAMBUTAN,9.725
ANGKUTAN UMUM INTEGRASI,7P,PONDOK KELAPA - BKN,9.333
ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,89.628
