jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1 (BLOK M - KOTA),2.491.625
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),901.232
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.084.451
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),855.969
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1.087.309
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1.063.009
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),1.041.480
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1.107.208
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1.505.715
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),851.844
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),335.932
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),264.535
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),783.995
ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,115.482
ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,57.38
ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,32.468
ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,60.265
ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,176.328
ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,65.728
ANGKUTAN UMUM INTEGRASI,1M ,BLOK M - MERUYA,46.245
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,36.016
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,33.4
ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,69.975
ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,46.481
ANGKUTAN UMUM INTEGRASI,2K,JGC - HARAPAN INDAH,2.591
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,38.584
ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,49.745
